Unnamed: 0,work_year,experience_level,employment_type,job_title,salary_in_usd,employee_residence,remote_ratio,company_location,company_size
46,2020,2,2,4,76958,20,100,18,2
47,2020,3,2,2,188000,55,100,48,0
48,2020,2,2,4,105000,55,100,48,0
49,2020,2,2,2,70139,19,50,17,0
50,2020,0,2,0,6072,27,0,25,2
51,2020,0,2,0,91000,55,100,48,0
52,2020,0,2,6,45896,15,50,13,2
53,2020,0,2,2,54742,43,100,12,0
54,2020,3,1,6,60000,49,100,48,2
55,2020,3,2,6,148261,14,100,12,1
56,2020,2,2,4,38776,18,100,16,1
57,2020,2,2,4,118000,55,100,48,1
58,2020,3,2,4,120000,55,50,48,0
59,2020,2,2,4,138350,55,100,48,1
60,2020,2,2,2,110000,55,100,48,0
61,2020,2,2,2,130800,18,100,48,1
62,2020,0,3,4,21669,30,50,28,2
63,2020,3,2,4,412000,55,100,48,0
64,2020,3,2,5,45618,24,100,21,2
65,2020,0,2,4,62726,14,50,12,2
66,2020,0,2,4,49268,14,0,12,2
67,2020,3,2,3,190200,55,100,48,1
68,2020,0,2,4,105000,55,100,48,2
69,2020,3,2,4,91237,2,0,2,2
70,2020,2,2,4,62726,19,50,31,2
71,2020,2,2,4,42197,19,50,17,2
72,2021,0,2,7,82528,20,50,18,0
73,2021,1,2,6,150000,27,100,48,0
74,2021,1,2,6,235000,55,100,48,0
75,2021,3,2,4,53192,19,50,17,0
76,2021,2,2,6,100000,55,100,48,1
77,2021,2,3,6,5409,27,50,25,1
78,2021,2,0,6,270000,55,100,48,0
79,2021,0,2,0,80000,55,100,48,1
80,2021,3,2,6,79197,14,100,12,0
81,2021,2,2,2,140000,55,100,48,0
82,2021,2,2,6,54238,20,50,6,0
83,2021,2,2,5,47282,18,100,16,2
84,2021,1,2,6,153667,30,100,40,0
85,2021,2,2,2,28476,44,100,40,0
86,2021,0,2,0,59102,19,50,17,1
87,2021,2,2,6,110000,55,100,48,0
88,2021,3,2,6,170000,55,100,48,0
89,2021,3,2,0,80000,5,100,48,2
90,2021,3,2,6,88654,21,100,13,0
91,2021,0,2,6,76833,14,100,12,2
92,2021,2,2,6,19609,27,100,25,0
93,2021,3,2,6,276000,55,0,48,0
94,2021,0,2,4,29751,27,50,25,0
95,2021,2,2,6,89294,50,50,44,0
96,2021,0,3,6,12000,7,100,48,2
97,2021,2,2,6,450000,55,100,48,0
98,2021,0,2,6,70000,55,100,48,1
99,2021,2,2,6,95746,14,100,48,2
100,2021,2,2,0,75000,55,0,48,0
101,2021,3,2,2,150000,55,100,48,0
102,2021,2,2,6,36259,25,50,48,0
103,2021,2,2,0,62000,55,0,48,0
104,2021,2,2,4,73000,55,0,48,0
105,2021,2,2,0,51519,20,50,18,0
106,2021,2,2,7,187442,8,100,6,0
107,2021,3,2,2,115000,55,100,48,2
108,2021,3,2,2,150000,55,100,48,1
109,2021,0,2,2,30428,27,100,25,0
110,2021,3,2,5,94564,14,50,12,0
111,2021,3,2,6,113476,20,100,18,1
112,2021,3,2,6,103160,20,100,18,2
113,2021,0,3,6,12000,43,100,48,1
114,2021,2,2,2,45391,40,100,37,0
115,2021,0,2,6,225000,55,100,48,0
116,2021,2,2,4,50000,39,100,36,0
117,2021,2,2,6,40189,21,100,19,1
118,2021,0,2,0,90000,55,100,48,2
119,2021,2,2,2,200000,55,100,48,0
120,2021,2,2,6,60000,18,50,42,1
121,2021,3,2,6,200000,55,100,48,1
122,2021,0,2,0,50000,55,100,48,1
123,2021,0,2,6,110037,20,0,18,0
124,2021,0,3,0,10354,18,50,16,1
125,2021,2,2,6,151000,55,100,48,0
126,2021,3,2,6,120000,55,50,48,2
127,2021,2,2,4,9466,27,0,25,2
128,2021,0,2,5,20000,27,100,25,2
129,2021,3,2,6,40570,27,50,25,0
130,2021,0,2,6,100000,28,50,26,2
131,2021,0,2,4,49646,19,50,17,1
132,2021,2,2,6,38400,56,100,48,1
133,2021,3,2,6,24000,7,100,5,1
134,2021,0,2,4,100000,55,0,48,2
135,2021,2,2,0,90000,55,100,48,1
136,2021,2,2,6,63711,32,50,29,2
137,2021,2,2,6,77364,32,50,29,2
138,2021,3,2,6,220000,55,0,48,0
139,2021,0,2,4,80000,55,100,48,1
140,2021,2,2,0,135000,55,100,48,0
141,2021,3,2,3,240000,55,0,48,0
142,2021,3,2,6,150000,55,0,48,0
143,2021,2,2,4,82500,55,100,48,2
144,2021,2,2,2,100000,55,100,48,0
145,2021,3,2,5,82744,4,50,4,1
146,2021,2,2,7,62649,19,50,17,1
147,2021,2,2,2,90000,55,100,48,0
148,2021,3,2,6,153000,55,100,48,0
149,2021,3,2,6,160000,7,100,48,2
150,2021,3,2,6,168000,32,0,29,2
151,2021,2,2,4,150000,55,100,48,1
152,2021,2,2,4,75774,8,100,6,0
153,2021,0,2,4,13400,54,100,47,0
154,2021,3,2,3,144000,55,100,48,0
155,2021,3,2,6,127221,8,50,6,0
156,2021,2,2,4,119059,50,100,24,1
157,2021,2,2,6,423000,55,50,48,0
158,2021,3,2,6,120000,55,100,48,1
159,2021,0,2,5,125000,55,100,48,2
160,2021,1,2,6,230000,49,50,43,0
161,2021,1,2,6,85000,49,0,43,1
162,2021,2,2,2,28369,36,50,33,0
163,2021,0,2,6,63831,14,50,12,0
164,2021,1,2,6,130026,14,50,12,1
165,2021,3,2,6,165000,55,100,48,0
166,2021,0,2,2,80000,55,100,48,0
167,2021,1,2,6,250000,55,0,48,0
168,2021,0,2,6,55000,55,50,48,2
169,2021,2,2,1,150000,55,100,48,0
170,2021,2,2,1,170000,55,100,48,0
171,2021,2,2,2,82528,20,100,18,0
172,2021,0,2,0,60000,55,100,48,2
173,2021,3,2,6,235000,55,100,48,0
174,2021,3,2,7,60757,46,50,41,0
175,2021,3,2,6,174000,55,100,48,0
176,2021,2,2,4,2859,37,0,34,2
177,2021,2,2,4,40038,10,100,8,0
178,2021,0,2,5,81000,55,50,48,2
179,2021,2,2,4,5679,27,100,48,2
180,2021,2,2,6,22611,27,0,25,0
181,2021,2,2,4,90734,14,50,12,0
182,2021,2,2,2,26005,47,0,48,0
183,2021,3,2,6,61896,20,50,18,0
184,2021,2,1,6,12000,43,50,39,1
185,2021,2,2,2,4000,29,100,27,1
186,2021,3,2,6,50000,56,100,18,1
187,2021,1,2,6,69741,19,100,16,2
188,2021,3,2,2,76833,47,50,18,2
189,2021,2,2,5,74000,32,50,29,2
190,2021,3,2,3,152000,55,100,17,0
191,2021,0,2,5,21844,12,50,10,1
192,2021,2,2,6,18000,35,0,32,2
193,2021,3,2,3,174000,55,100,48,0
194,2021,3,2,7,96113,8,50,6,0
195,2021,2,2,4,147000,55,50,48,0
196,2021,0,2,6,9272,33,100,30,2
197,2021,3,2,5,24342,27,100,25,0
198,2021,3,2,3,54094,27,50,48,0
199,2021,0,2,6,90000,55,100,48,2
200,2021,2,2,4,61467,14,50,2,1
201,2021,3,2,6,195000,55,100,48,1
202,2021,2,2,4,37825,18,100,16,0
203,2021,3,2,7,50000,19,100,48,2
204,2021,2,2,4,160000,55,100,48,0
205,2021,2,2,4,12901,7,0,5,2
206,2021,3,2,5,200000,55,100,48,0
207,2021,3,2,2,165000,55,0,48,1
208,2021,2,1,2,20000,30,0,48,0
209,2021,3,2,6,120000,55,0,48,0
210,2021,2,2,5,24823,51,50,45,0
211,2021,2,2,7,56738,19,50,17,2
212,2021,2,2,2,66022,22,50,18,2
213,2021,0,2,6,5882,27,0,7,0
214,2021,0,2,5,24823,14,50,12,1
215,2021,3,2,6,185000,55,100,48,0
216,2021,0,3,6,28609,15,50,13,2
217,2021,2,2,4,90734,14,50,12,0
218,2021,2,2,5,88654,4,100,4,1
219,2021,3,2,6,140000,55,100,48,0
220,2021,2,2,5,46597,44,100,40,0
221,2021,2,2,4,116914,20,50,18,0
222,2021,2,2,4,33808,27,0,25,1
223,2021,2,2,4,56256,20,50,18,0
224,2021,3,2,6,225000,55,100,6,0
225,2021,1,0,6,416000,55,100,48,2
226,2021,3,2,4,87738,8,100,6,2
227,2021,2,2,4,88654,14,50,12,0
228,2021,3,2,4,135000,55,0,48,0
229,2021,3,2,0,71786,8,100,6,1
230,2021,0,2,6,16228,27,100,25,0
231,2021,3,2,6,256000,55,100,48,2
232,2021,3,2,6,200000,55,100,48,0
233,2021,3,2,0,200000,55,100,48,0
234,2021,2,2,1,180000,55,100,48,0
235,2021,2,2,6,110000,55,0,48,2
236,2021,2,2,7,63810,8,100,6,1
237,2021,2,2,4,46809,18,100,16,1
238,2021,0,2,4,4000,56,0,49,1
239,2021,0,2,2,21637,27,50,25,1
240,2021,3,2,4,103691,8,100,6,0
241,2021,2,2,0,80000,55,100,48,0
242,2021,2,2,2,110000,55,100,48,0
243,2021,3,2,4,165000,55,100,48,0
244,2021,0,2,6,18053,27,100,1,2
245,2021,2,2,2,72212,20,50,18,0
246,2021,0,2,4,36643,19,50,17,0
247,2021,2,2,2,12103,53,0,46,1
248,2021,3,2,2,96282,20,50,18,0
249,2021,3,2,6,170000,55,100,48,1
250,2021,2,2,4,115000,55,50,48,0
251,2021,0,2,4,90000,55,100,48,2
252,2021,1,2,6,600000,55,100,48,0
253,2021,0,2,4,28399,27,100,25,1
254,2021,2,2,0,93000,55,100,48,0
255,2021,3,2,6,99703,8,50,6,1
256,2021,2,2,2,200000,55,100,48,0
257,2021,3,2,6,173762,14,100,12,1
258,2021,3,2,5,185000,55,50,48,0
259,2021,1,2,6,141846,14,0,12,0
260,2021,2,2,4,130000,55,50,48,0
261,2021,3,2,0,63831,14,50,12,0
262,2021,2,2,4,16904,27,100,25,2
263,2021,3,2,5,66265,27,0,25,0
264,2021,2,2,4,25532,48,100,12,2
265,2021,3,2,6,160000,45,50,48,2
266,2021,2,2,2,93150,55,0,48,1
267,2021,2,2,2,111775,55,0,48,1
268,2021,2,2,2,28016,53,100,46,1
269,2021,0,2,2,65013,14,50,12,1
270,2021,0,2,2,72500,55,100,48,0
271,2021,3,2,6,18907,7,0,5,1
272,2021,0,2,6,76833,14,0,12,0
273,2021,0,2,5,85000,40,100,12,2
274,2021,3,2,4,77684,19,50,17,1
275,2021,0,2,4,100000,55,100,48,1
276,2021,0,2,4,58000,55,50,48,0
277,2021,3,2,6,55000,18,100,16,0
278,2021,3,2,4,20171,53,50,46,0
279,2021,0,2,6,59102,34,100,31,0
280,2021,2,2,2,112000,55,100,48,0
281,2021,0,2,7,100000,31,0,9,0
282,2021,2,3,2,69741,40,100,37,0
283,2021,3,0,6,105000,55,100,48,1
284,2021,2,2,7,69999,13,50,11,0
285,2021,3,2,3,94665,27,50,25,0
286,2021,3,2,6,102839,51,100,45,0
287,2021,2,2,4,109000,55,50,48,0
288,2021,2,2,5,51064,30,50,28,0
289,2022,3,2,2,135000,55,100,48,1
290,2022,3,2,0,155000,55,100,48,1
291,2022,3,2,0,120600,55,100,48,1
292,2022,2,2,4,130000,55,0,48,1
293,2022,2,2,4,90000,55,0,48,1
294,2022,2,2,2,170000,55,100,48,1
295,2022,2,2,2,150000,55,100,48,1
296,2022,3,2,0,102100,55,100,48,1
297,2022,3,2,0,84900,55,100,48,1
298,2022,3,2,4,136620,55,100,48,1
299,2022,3,2,4,99360,55,100,48,1
300,2022,3,2,4,117789,20,0,18,1
301,2022,3,2,4,104702,20,0,18,1
302,2022,3,2,4,146000,55,100,48,1
303,2022,3,2,4,123000,55,100,48,1
304,2022,0,2,2,52351,20,100,18,1
305,2022,3,2,0,99000,55,0,48,1
306,2022,3,2,0,116000,55,0,48,1
307,2022,2,2,0,106260,55,0,48,1
308,2022,2,2,0,126500,55,0,48,1
309,2022,1,2,2,242000,55,100,48,1
310,2022,1,2,2,200000,55,100,48,1
311,2022,2,2,4,65438,20,0,18,1
312,2022,2,2,4,39263,20,0,18,1
313,2022,2,2,2,78526,20,0,18,1
314,2022,2,2,2,52351,20,0,18,1
315,2022,3,2,4,165220,55,100,48,1
316,2022,0,2,2,45807,20,100,18,1
317,2022,3,2,4,120160,55,100,48,1
318,2022,3,2,0,90320,55,100,48,1
319,2022,3,2,2,181940,55,0,48,1
320,2022,3,2,2,132320,55,0,48,1
321,2022,3,2,2,220110,55,0,48,1
322,2022,3,2,2,160080,55,0,48,1
323,2022,3,2,4,180000,55,0,48,0
324,2022,3,2,4,120000,55,0,48,0
325,2022,3,2,0,124190,55,100,48,1
326,2022,1,2,0,130000,55,100,48,1
327,2022,1,2,0,110000,55,100,48,1
328,2022,3,2,0,170000,55,100,48,1
329,2022,2,2,0,115500,55,100,48,1
330,2022,3,2,0,112900,55,100,48,1
331,2022,3,2,0,90320,55,100,48,1
332,2022,3,2,0,112900,55,100,48,1
333,2022,3,2,0,90320,55,100,48,1
334,2022,3,2,2,165400,55,100,48,1
335,2022,3,2,2,132320,55,100,48,1
336,2022,2,2,0,167000,55,100,48,1
337,2022,3,2,2,243900,55,100,48,1
338,2022,3,2,0,136600,55,100,48,1
339,2022,3,2,0,109280,55,100,48,1
340,2022,3,2,2,128875,55,100,48,1
341,2022,3,2,2,93700,55,100,48,1
342,2022,1,2,6,224000,55,100,48,1
343,2022,1,2,6,167875,55,100,48,1
344,2022,1,2,6,175000,55,100,48,1
345,2022,3,2,2,156600,55,100,48,1
346,2022,3,2,2,108800,55,0,48,1
347,2022,3,2,4,95550,55,0,48,1
348,2022,3,2,2,113000,55,0,48,0
349,2022,3,2,0,135000,55,100,48,1
350,2022,3,2,3,161342,55,100,48,1
351,2022,3,2,3,137141,55,100,48,1
352,2022,3,2,4,167000,55,100,48,1
353,2022,3,2,4,123000,55,100,48,1
354,2022,3,2,2,78526,20,0,18,1
355,2022,3,2,2,65438,20,0,18,1
356,2022,3,2,4,150000,55,0,48,1
357,2022,3,2,4,211500,55,100,48,1
358,2022,3,2,1,192400,8,100,6,1
359,2022,3,2,1,90700,8,100,6,1
360,2022,3,2,0,130000,8,100,6,1
361,2022,3,2,0,61300,8,100,6,1
362,2022,3,2,0,130000,8,100,6,1
363,2022,3,2,0,61300,8,100,6,1
364,2022,3,2,2,160000,55,0,48,0
365,2022,3,2,4,138600,55,100,48,1
366,2022,3,2,2,136000,55,0,48,1
367,2022,2,2,0,58000,55,0,48,2
368,2022,1,2,6,135000,55,100,48,1
369,2022,3,2,4,170000,55,100,48,1
370,2022,3,2,4,123000,55,100,48,1
371,2022,3,2,5,189650,55,0,48,1
372,2022,3,2,5,164996,55,0,48,1
373,2022,2,2,6,54957,21,0,19,1
374,2022,2,2,6,54957,21,0,19,1
375,2022,1,2,6,118187,8,100,6,2
376,2022,3,2,0,132000,55,0,48,1
377,2022,3,2,2,165400,55,100,48,1
378,2022,3,2,1,208775,55,100,48,1
379,2022,3,2,1,147800,55,100,48,1
380,2022,3,2,2,136994,55,100,48,1
381,2022,3,2,2,101570,55,100,48,1
382,2022,3,2,0,128875,55,100,48,1
383,2022,3,2,0,93700,55,100,48,1
384,2022,1,2,6,79039,27,50,25,0
385,2022,3,2,2,132320,55,100,48,1
386,2022,0,2,5,37300,20,100,18,0
387,2022,3,2,0,164000,55,0,48,1
388,2022,3,2,2,155000,55,100,48,1
389,2022,2,2,5,124333,20,0,18,1
390,2022,2,2,5,98158,20,0,18,1
391,2022,2,2,6,120000,55,0,48,1
392,2022,3,2,0,112900,55,100,48,1
393,2022,3,2,0,90320,55,100,48,1
394,2022,3,2,6,145000,55,100,48,1
395,2022,3,2,6,105400,55,100,48,1
396,2022,2,2,5,87932,19,100,12,1
397,2022,2,2,2,117789,20,0,18,1
398,2022,3,2,4,215300,55,100,48,0
399,2022,3,2,4,158200,55,100,48,0
400,2022,3,2,2,209100,55,100,48,0
401,2022,3,2,2,154600,55,100,48,0
402,2022,3,2,0,115934,55,0,48,1
403,2022,3,2,0,81666,55,0,48,1
404,2022,3,2,2,175000,55,100,48,1
405,2022,2,2,2,98158,20,0,18,1
406,2022,2,2,0,58000,55,0,48,2
407,2022,3,2,2,183600,55,100,48,0
408,2022,2,2,0,52351,20,100,18,1
409,2022,3,2,4,180000,55,100,48,1
410,2022,2,2,4,71982,20,0,18,1
411,2022,2,2,4,45807,20,0,18,1
412,2022,2,2,2,65949,21,100,19,1
413,2022,2,2,2,49461,21,100,19,1
414,2022,2,2,2,78526,20,100,18,1
415,2022,2,2,2,58894,20,100,18,1
416,2022,3,2,4,260000,55,100,48,1
417,2022,3,2,6,60000,1,100,34,0
418,2022,2,2,2,63900,55,0,48,1
419,2022,2,2,6,160000,55,100,48,0
420,2022,2,2,6,112300,55,100,48,0
421,2022,2,2,3,241000,55,100,48,1
422,2022,2,2,3,159000,55,100,48,1
423,2022,3,2,4,180000,55,0,48,1
424,2022,3,2,4,80000,55,0,48,1
425,2022,2,2,2,82900,55,0,48,1
426,2022,3,2,2,100800,55,100,48,0
427,2022,2,2,2,49461,18,100,16,1
428,2022,3,2,4,140400,55,0,48,0
429,2022,2,2,0,39263,20,100,18,1
430,2022,2,2,0,43966,18,100,16,1
431,2022,2,2,0,32974,18,100,16,1
432,2022,2,2,2,87932,18,100,16,1
433,2022,2,2,2,76940,18,100,16,1
434,2022,2,2,2,104702,20,100,18,1
435,2022,2,2,2,91614,20,100,18,1
436,2022,2,2,2,65949,18,100,16,1
437,2022,2,2,2,87932,21,100,19,1
438,2022,3,2,5,189650,55,0,48,1
439,2022,3,2,5,164996,55,0,48,1
440,2022,2,2,0,43966,21,100,19,1
441,2022,2,2,0,32974,21,100,19,1
442,2022,2,2,2,98158,20,100,18,1
443,2022,2,2,2,78526,20,100,18,1
444,2022,3,2,4,215300,55,0,48,0
445,2022,2,2,2,76940,21,100,19,1
446,2022,3,2,2,209100,55,100,48,0
447,2022,3,2,2,154600,55,100,48,0
448,2022,3,2,2,180000,55,100,48,1
449,2022,0,2,6,21983,46,100,41,0
450,2022,3,2,2,80000,55,100,48,1
451,2022,2,2,6,78791,8,100,6,1
452,2022,1,2,6,196979,8,50,6,0
453,2022,2,2,5,120000,55,100,48,2
454,2022,0,2,6,125000,55,0,48,1
455,2022,2,2,6,37236,55,50,48,0
456,2022,3,2,2,105000,55,100,48,1
457,2022,3,2,6,87932,14,0,12,1
458,2022,2,2,6,18442,27,100,25,1
459,2022,2,2,4,31615,27,100,25,0
460,2022,2,2,6,58255,46,50,41,0
461,2022,0,2,6,100000,55,50,48,0
462,2022,2,3,2,54957,14,50,12,0
463,2022,0,2,4,18442,27,100,25,1
464,2022,3,2,6,162674,14,100,12,1
465,2022,0,2,2,120000,55,100,48,1
466,2022,3,2,7,144000,55,50,48,0
467,2022,3,2,4,104890,55,100,48,1
468,2022,3,2,2,100000,55,100,48,1
469,2022,3,2,4,140000,55,100,48,1
470,2022,2,2,0,135000,55,100,48,1
471,2022,2,2,0,50000,55,100,48,1
472,2022,3,2,4,220000,55,100,48,1
473,2022,3,2,4,140000,55,100,48,1
474,2022,2,2,4,183228,20,0,18,1
475,2022,2,2,4,91614,20,0,18,1
476,2022,3,2,4,185100,55,100,48,1
477,2022,3,2,5,220000,55,100,48,1
478,2022,2,2,4,200000,55,100,48,1
479,2022,2,2,4,120000,55,100,48,1
480,2022,3,2,5,120000,0,100,0,2
481,2022,3,2,5,65000,0,100,0,2
482,2022,1,2,2,324000,55,100,48,1
483,2022,1,2,2,216000,55,100,48,1
484,2022,3,2,2,210000,55,100,48,1
485,2022,3,2,5,120000,55,100,48,1
486,2022,3,2,4,230000,55,100,48,1
487,2022,0,3,4,100000,16,50,14,1
488,2022,2,1,4,100000,8,100,48,1
489,2022,0,0,6,31875,52,100,11,1
490,2022,3,2,6,200000,38,100,48,1
491,2022,2,2,6,75000,8,100,6,2
492,2022,2,2,4,35590,44,100,40,0
493,2022,3,2,6,78791,8,100,6,1
494,2022,3,2,4,100000,7,100,48,1
495,2022,2,2,6,153000,55,50,48,1
496,2022,0,2,2,58035,43,100,12,1
497,2022,3,2,4,165000,55,100,48,1
498,2022,3,2,7,93427,19,50,17,0
499,2022,0,2,4,52396,8,100,6,0
500,2022,3,2,5,62651,40,100,37,0
501,2022,2,2,6,32974,17,100,15,2
502,2022,0,2,4,40000,32,100,35,0
503,2022,2,2,5,87425,3,100,3,0
504,2022,3,2,2,115000,55,100,48,1
505,2022,0,2,4,86703,3,50,3,1
506,2022,2,2,6,75000,6,100,48,0
507,2022,2,2,7,64849,2,0,2,0
508,2022,0,2,7,120000,55,100,48,0
509,2022,2,2,6,157000,55,100,48,0
510,2022,0,2,6,150000,3,100,3,2
511,2022,2,2,6,70912,8,50,6,0
512,2022,0,2,2,65000,55,100,48,2
513,2022,3,2,5,71444,26,100,23,2
514,2022,0,2,6,20000,43,0,39,1
515,2022,2,2,4,48000,49,100,48,2
516,2022,3,2,3,152500,55,100,48,1
517,2022,2,2,2,68147,19,100,17,1
518,2022,2,2,4,122346,9,0,7,0
519,2022,3,2,6,380000,55,100,48,0
520,2022,2,2,4,69336,8,100,6,1
521,2022,0,2,6,10000,46,100,31,1
522,2022,2,2,0,20000,21,100,19,2
523,2022,3,2,6,405000,55,100,48,0
524,2022,2,2,4,135000,55,100,48,0
525,2022,3,2,6,177000,55,100,48,0
526,2022,2,2,4,78000,55,100,48,1
527,2022,3,2,0,135000,55,100,48,1
528,2022,3,2,0,100000,55,100,48,1
529,2022,3,2,0,90320,55,100,48,1
530,2022,2,2,0,85000,8,0,6,1
531,2022,2,2,0,75000,8,0,6,1
532,2022,3,2,5,214000,55,100,48,1
533,2022,3,2,5,192600,55,100,48,1
534,2022,3,2,1,266400,55,100,48,1
535,2022,3,2,1,213120,55,100,48,1
536,2022,3,2,0,112900,55,100,48,1
537,2022,3,2,2,155000,55,100,48,1
538,2022,2,2,4,141300,55,0,48,1
539,2022,2,2,4,102100,55,0,48,1
540,2022,3,2,0,115934,55,100,48,1
541,2022,3,2,0,81666,55,100,48,1
542,2022,2,2,2,206699,55,0,48,1
543,2022,2,2,2,99100,55,0,48,1
544,2022,3,2,2,130000,55,100,48,1
545,2022,3,2,2,115000,55,100,48,1
546,2022,3,2,2,110500,55,100,48,1
547,2022,3,2,2,130000,55,100,48,1
548,2022,3,2,0,99050,55,100,48,1
549,2022,3,2,2,160000,55,100,48,1
550,2022,3,2,4,205300,55,0,48,0
551,2022,3,2,4,140400,55,0,48,0
552,2022,3,2,4,176000,55,100,48,1
553,2022,3,2,4,144000,55,100,48,1
554,2022,3,2,2,200100,55,100,48,1
555,2022,3,2,2,160000,55,100,48,1
556,2022,3,2,2,145000,55,100,48,1
557,2022,3,2,2,70500,55,0,48,1
558,2022,3,2,4,205300,55,0,48,1
559,2022,3,2,4,140400,55,0,48,1
560,2022,3,2,6,205300,55,0,48,1
561,2022,3,2,6,184700,55,0,48,1
562,2022,3,2,2,175100,55,100,48,1
563,2022,3,2,2,140250,55,100,48,1
564,2022,3,2,0,116150,55,100,48,1
565,2022,3,2,2,54000,55,0,48,1
566,2022,3,2,0,170000,55,100,48,1
567,2022,2,2,0,65438,20,0,18,1
568,2022,3,2,0,80000,55,100,48,1
569,2022,3,2,4,140000,55,100,48,1
570,2022,3,2,4,210000,55,100,48,1
571,2022,3,2,4,140000,55,100,48,1
572,2022,3,2,0,100000,55,100,48,1
573,2022,3,2,0,69000,55,100,48,1
574,2022,3,2,4,210000,55,100,48,1
575,2022,3,2,4,140000,55,100,48,1
576,2022,3,2,4,210000,55,100,48,1
577,2022,3,2,0,150075,55,100,48,1
578,2022,3,2,2,100000,55,100,48,1
579,2022,3,2,2,25000,55,100,48,1
580,2022,3,2,0,126500,55,100,48,1
581,2022,3,2,0,106260,55,100,48,1
582,2022,3,2,2,220110,55,100,48,1
583,2022,3,2,2,160080,55,100,48,1
584,2022,3,2,0,105000,55,100,48,1
585,2022,3,2,0,110925,55,100,48,1
586,2022,2,2,0,45807,20,0,18,1
587,2022,3,2,4,140000,55,100,48,1
588,2022,3,2,0,99000,55,0,48,1
589,2022,3,2,0,60000,55,100,48,1
590,2022,3,2,1,192564,55,100,48,1
591,2022,3,2,1,144854,55,100,48,1
592,2022,3,2,4,230000,55,100,48,1
593,2022,3,2,4,150000,55,100,48,1
594,2022,3,2,6,150260,55,100,48,1
595,2022,3,2,6,109280,55,100,48,1
596,2022,3,2,4,210000,55,100,48,1
597,2022,3,2,0,170000,55,100,48,1
598,2022,2,2,4,160000,55,100,48,1
599,2022,2,2,4,130000,55,100,48,1
600,2022,0,2,0,67000,8,0,6,1
601,2022,0,2,0,52000,8,0,6,1
602,2022,3,2,2,154000,55,100,48,1
603,2022,3,2,2,126000,55,100,48,1
604,2022,3,2,0,129000,55,0,48,1
605,2022,3,2,0,150000,55,100,48,1
606,2022,2,2,6,200000,27,100,48,0
